Entity,Code,Year,Military expenditure (% of GDP),World regions according to OWID,time,time
Philippines,PHL,2024,1.3242689,Asia,2023,2024
Poland,POL,2024,4.1543937,Europe,2023,2024
Portugal,PRT,2024,1.5322683,Europe,2023,2024
Qatar,,,6.5002055,,,2022
Romania,ROU,2024,2.2981524,Europe,2023,2024
Russia,RUS,2024,7.052339,Europe,2023,2024
Rwanda,RWA,2024,1.2477208,Africa,2023,2024
Saudi Arabia,SAU,2024,7.298103,Asia,2023,2024
Senegal,SEN,2024,1.5664777,Africa,2023,2024
Serbia,SRB,2024,2.5951397,Europe,2023,2024
Seychelles,SYC,2024,1.1790686,Africa,2023,2024
Sierra Leone,SLE,2024,0.46253964,Africa,2023,2024
Singapore,SGP,2024,2.8417656,Asia,2023,2024
Slovakia,SVK,2024,2.0107815,Europe,2023,2024
Slovenia,SVN,2024,1.3100111,Europe,2023,2024
Somalia,SOM,2024,1.5857805,Africa,2023,2024
South Africa,ZAF,2024,0.70015085,Africa,2023,2024
South Korea,KOR,2024,2.5620525,Asia,2023,2024
South Sudan,SSD,2024,1.9617071,Africa,2023,2024
Spain,ESP,2024,1.4321074,Europe,2023,2024
Sri Lanka,LKA,2024,1.4253908,Asia,2023,2024
Sudan,,,0.9253773,,,2021
Sweden,SWE,2024,1.9977175,Europe,2023,2024
Switzerland,CHE,2024,0.71781206,Europe,2023,2024
Syria,,,,,,2024
Taiwan,TWN,2024,2.0981145,Asia,2023,2024
Tajikistan,TJK,2024,1.8477497,Asia,2023,2024
Tanzania,TZA,2024,1.1546175,Africa,2023,2024
Thailand,THA,2024,1.0787609,Asia,2023,2024
Togo,TGO,2024,1.9987719,Africa,2023,2024
Trinidad and Tobago,TTO,2024,0.9214164,North America,2023,2024
Tunisia,TUN,2024,2.506368,Africa,2023,2024
Turkey,TUR,2024,1.9225523,Asia,2023,2024
Turkmenistan,,,,,,2024
Uganda,UGA,2024,1.881598,Africa,2023,2024
Ukraine,UKR,2024,34.48153,Europe,2023,2024
United Arab Emirates,,,,,,2024
United Kingdom,GBR,2024,2.2786179,Europe,2023,2024
United States,USA,2024,3.4192164,North America,2023,2024
Uruguay,URY,2024,2.3105383,South America,2023,2024
Uzbekistan,,,,,,2024
Venezuela,,,0.50070447,,,2023
Vietnam,,,,,,2024
Yemen,,,,,,2024
Zambia,ZMB,2024,1.3326836,Africa,2023,2024
Zimbabwe,ZWE,2024,0.351195,Africa,2023,2024
